episode_title_pretty,episode_title,podcast_name,link_homepage,link_mp3,description,published
Borderless: Builder vs. breaker mindset with Dr. Pedram Hayati,BorderlessBuildervsbreakermindsetwithDrPedramHayati,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Borderless-Builder-vs--breaker-mindset-with-Dr--Pedram-Hayati-e23l93n,https://anchor.fm/s/964a7d24/podcast/play/69952055/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-4-7%2F328198669-44100-2-291bb58f10198.mp3,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Mon, 08 May 2023 04:00:36 GMT"
Investiranje in Silicon Gardens z Lukom Renkom,InvestiranjeinSiliconGardenszLukomRenkom,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Investiranje-in-Silicon-Gardens-z-Lukom-Renkom-e22ffg6,https://anchor.fm/s/964a7d24/podcast/play/68713414/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-3-16%2F324247461-44100-2-295aadd77ce05.mp3,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Mon, 17 Apr 2023 04:10:03 GMT"
Zagon: Biti programer,ZagonBitiprogramer,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Zagon-Biti-programer-e2120ng,https://anchor.fm/s/964a7d24/podcast/play/67223728/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-2-24%2F320039441-44100-2-4fea0ab1f9ffd.mp3,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Mon, 27 Mar 2023 04:10:33 GMT"
Microsoft in Azure z Bojanom Vrhovnikom,MicrosoftinAzurezBojanomVrhovnikom,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Microsoft-in-Azure-z-Bojanom-Vrhovnikom-e1vmg4i,https://anchor.fm/s/964a7d24/podcast/play/65797714/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-2-1%2F315472381-44100-2-0f6ea832969c4.mp3,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Wed, 01 Mar 2023 12:38:33 GMT"
Inženiring in vpliv umetne inteligence,Inženiringinvplivumetneinteligence,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Ineniring-in-vpliv-umetne-inteligence-e1ugmnq,https://anchor.fm/s/964a7d24/podcast/play/64559290/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-1-5%2F311234263-44100-2-0cd732d4c645e.mp3,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Mon, 06 Feb 2023 05:10:19 GMT"
Sreča + Codeable + MONO in Tomaž Zaman,SrečaCodeableMONOinTomažZaman,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Srea--Codeable--MONO-in-Toma-Zaman-e1tp1k7,https://anchor.fm/s/964a7d24/podcast/play/63784007/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-0-20%2F308504877-44100-2-ffc99cd89d64f.mp3,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Mon, 23 Jan 2023 05:10:41 GMT"
Cloud in IaC,CloudinIaC,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Cloud-in-IaC-e1sbpkr,https://anchor.fm/s/964a7d24/podcast/play/62301275/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-11-16%2F303460752-44100-2-c8a287c4bc2fb.m4a,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Mon, 19 Dec 2022 05:20:51 GMT"
Google inženiring z Jernejem Viragom,GoogleinženiringzJernejemViragom,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Google-ineniring-z-Jernejem-Viragom-e1rl9vd,https://anchor.fm/s/964a7d24/podcast/play/61564333/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-11-2%2F300653800-44100-2-15347af4e3174.m4a,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Mon, 05 Dec 2022 05:20:50 GMT"
"Java, JVM, Quarkus in Aleš Justin, Red Hat",JavaJVMQuarkusinAlešJustinRedHat,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Java--JVM--Quarkus-in-Ale-Justin--Red-Hat-e1qvnj0,https://anchor.fm/s/964a7d24/podcast/play/60857376/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-10-18%2F297869501-44100-2-f466abf92c8cb.m4a,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Mon, 21 Nov 2022 05:20:24 GMT"
Sodobni HR z Anjo Žibert in Saro Vošinek Gašpar,SodobniHRzAnjoŽibertinSaroVošinekGašpar,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Sodobni-HR-z-Anjo-ibert-in-Saro-Voinek-Gapar-e1qbc7l,https://anchor.fm/s/964a7d24/podcast/play/60190389/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-10-6%2F295362611-44100-2-c1279344c142f.m4a,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Mon, 07 Nov 2022 05:20:58 GMT"
META Ogrodje,METAOgrodje,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/META-Ogrodje-e1paiab,https://anchor.fm/s/964a7d24/podcast/play/59115275/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-9-15%2F291304517-44100-2-8e359ec95135b.m4a,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Mon, 24 Oct 2022 04:20:45 GMT"
MORDHAU in razvoj AAA igre z Markom Grgurovičem,MORDHAUinrazvojAAAigrezMarkomGrgurovičem,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/MORDHAU-in-razvoj-AAA-igre-z-Markom-Grguroviem-e1pagis,https://anchor.fm/s/964a7d24/podcast/play/59113500/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-9-15%2F291295392-44100-2-1f500ef4675b5.m4a,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Mon, 17 Oct 2022 04:20:41 GMT"
